Lugar de residencia,IA 14 días,Población,PDIA acum.,PDIA 14 días,PDIA 7 días,Fallecidos acum.,Provincia
Pedrera,77.5,5158,677,4,4,5,Sevilla
La Puebla de Cazalla,64,10932,742,7,4,10,Sevilla
La Roda de Andalucía,71.9,4175,354,3,0,4,Sevilla
El Rubio,0,3369,277,0,0,4,Sevilla
El Saucejo,47.2,4235,482,2,2,5,Sevilla
Villanueva de San Juan,0,1090,59,0,0,1,Sevilla
Alanís,0,1706,142,0,0,1,Sevilla
Alcalá del Río,24.6,12186,1527,3,1,12,Sevilla
Alcolea del Río,0,3347,252,0,0,4,Sevilla
La Algaba,18.2,16503,2443,3,0,17,Sevilla
Almadén de la Plata,0,1307,74,0,0,2,Sevilla
Arroyomolinos de León,0,947,35,0,0,0,Sevilla
Brenes,32,12501,1419,4,1,13,Sevilla
Burguillos,0,6766,647,0,0,6,Sevilla
Cala,0,1159,36,0,0,0,Sevilla
La Campana,0,5238,625,0,0,4,Sevilla
Cantillana,18.6,10736,1649,2,1,28,Sevilla
Carmona,83.2,28834,2724,24,12,58,Sevilla
Castilblanco de los Arroyos,183.7,4899,414,9,3,9,Sevilla
El Castillo de las Guardas,68.1,1468,110,1,1,2,Sevilla
Cazalla de la Sierra,42.7,4684,319,2,1,3,Sevilla
Constantina,85.3,5864,498,5,4,9,Sevilla
El Garrobo,0,782,88,0,0,1,Sevilla
Gerena,39.1,7674,528,3,2,1,Sevilla
Guadalcanal,0,2608,142,0,0,4,Sevilla
Guillena,46.5,12903,1158,6,2,17,Sevilla
Lora del Río,48.3,18630,2005,9,3,25,Sevilla
El Madroño,0,287,6,0,0,0,Sevilla
Mairena del Alcor,50.6,23698,2001,12,9,16,Sevilla
Las Navas de la Concepción,0,1542,48,0,0,2,Sevilla
El Pedroso,49.8,2009,123,1,0,4,Sevilla
La Puebla de los Infantes,67.1,2980,175,2,0,2,Sevilla
El Real de la Jara,0,1494,59,0,0,1,Sevilla
La Rinconada,28.2,39062,4185,11,6,48,Sevilla
El Ronquillo,0,1377,108,0,0,4,Sevilla
San Nicolás del Puerto,0,596,46,0,0,1,Sevilla
Santa Olalla del Cala,49.5,2022,137,1,0,0,Sevilla
Tocina,21.1,9486,932,2,1,8,Sevilla
Villanueva del Río y Minas,61.9,4847,541,3,1,8,Sevilla
Villaverde del Río,0,7842,1100,0,0,7,Sevilla
El Viso del Alcor,25.9,19324,2344,5,2,20,Sevilla
Zufre,0,796,20,0,0,0,Sevilla
Alcalá de Guadaíra,30.5,75533,6436,23,10,92,Sevilla
Arahal,20.5,19533,2145,4,2,38,Sevilla
Las Cabezas de San Juan,61.1,16358,1527,10,2,19,Sevilla
Coripe,80.8,1238,74,1,0,0,Sevilla
El Coronil,21.2,4717,272,1,0,2,Sevilla
El Cuervo de Sevilla,0,8656,896,0,0,8,Sevilla
Dos Hermanas,69.6,135050,11941,94,41,137,Sevilla
Lebrija,18.1,27578,2384,5,0,36,Sevilla
Los Molares,0,3518,435,0,0,7,Sevilla
Montellano,0,7053,838,0,0,13,Sevilla
Morón de la Frontera,7.2,27633,2002,2,1,30,Sevilla
Los Palacios y Villafranca,25.9,38548,3962,10,4,59,Sevilla
El Palmar de Troya,128,2343,332,3,2,8,Sevilla
Paradas,0,6857,623,0,0,6,Sevilla
Pruna,0,2605,228,0,0,2,Sevilla
Utrera,37.3,50962,4590,19,8,78,Sevilla
